基金代码,基金名称,日期,万份收益,近5年回报率
000759,平安财富宝货币,05-04,0.4787,18.90%
000662,银华活钱宝货币F,04-30,0.4989,18.65%
000540,国金金腾通货币A,05-04,0.5323,18.51%
340005,兴全货币A,04-30,1.6879,18.49%
000600,汇添富和聚宝货币,05-05,0.5178,18.48%
000837,国投瑞银钱多宝货,04-30,0.6029,18.46%
000836,国投瑞银钱多宝货,04-30,0.6029,18.46%
001096,国寿安保聚宝盆货,04-30,0.3593,17.92%
000638,富国富钱包货币,05-04,0.4579,17.85%
000797,方正富邦金小宝货,04-30,0.5730,17.85%
000748,广发活期宝货币A,05-04,0.4674,17.83%
000533,永赢货币,04-30,0.4251,17.77%
000647,易方达财富快线货,05-04,0.5635,17.74%
000464,嘉实活期宝货币,05-04,0.4713,17.69%
000677,工银现金货币,05-04,0.4929,17.63%
620010,金元顺安金元宝货,04-30,0.4205,17.57%
000509,广发钱袋子货币A,05-04,0.5325,17.47%
000730,博时现金宝货币A,05-04,0.5229,17.34%
000569,鹏华增值宝货币,04-30,0.4936,17.32%
482002,工银货币,04-30,0.5381,17.30%
000678,华宝现金宝货币E,04-30,0.5056,17.28%
000588,招商招钱宝货币A,05-03,0.4430,17.26%
000789,易方达龙宝货币A,05-04,0.4275,17.21%
000539,中银活期宝货币,05-04,0.4946,17.20%
000699,中银薪钱包货币,05-04,0.4585,17.18%
000709,华安汇财通货币,05-03,0.4741,17.15%
000009,易方达天天理财货,05-04,0.4983,17.10%
730003,方正富邦货币A,04-30,0.4596,17.10%
000704,易方达天天增利货,05-04,0.4317,17.04%
000726,大成添利宝货币E,05-05,0.4232,16.99%
000604,银华多利宝货币A,04-30,0.4713,16.98%
000847,中融货币A,04-30,0.4143,16.96%
210012,金鹰货币A,04-30,0.4204,16.85%
162206,泰达宏利货币A,04-30,0.4590,16.81%
000912,英大现金宝货币,05-04,0.5126,16.69%
070008,嘉实货币A,05-04,0.3895,16.69%
000901,国开货币A,04-30,0.3896,16.68%
000331,中加货币A,04-30,0.3561,16.68%
003003,华夏现金增利货币,05-04,0.2747,16.64%
000379,平安日增利货币,05-04,0.3932,16.64%
000860,银华惠增利货币,04-30,0.4521,16.56%
000560,诺安天天宝E,04-30,0.4867,16.56%
080011,长盛货币A,04-30,0.3708,16.51%
040038,华安日日鑫货币A,04-30,0.5017,16.46%
000724,大成添利宝货币A,05-05,0.3959,16.40%
000475,广发天天利货币A,05-04,0.4584,16.39%
000907,农银红利日结货币,04-30,0.4230,16.29%
288101,华夏货币A,04-30,0.3373,16.28%
200003,长城货币A,05-04,0.4513,16.27%
202307,南方收益宝货币A,05-04,0.4778,16.21%
